product_id,product_title,price,brand,color,category,sub_category,product_description,rating
0,Adidas Superstar,5999,Adidas,White,Shoes,Sneakers,"The Adidas Superstar is an iconic sneaker featuring a genuine leather upper, rubber shell toe, and timeless design as sold by Adidas India.",4
1,Adidas Stan Smith,6999,Adidas,White,Shoes,Sneakers,"Adidas Stan Smith is renowned for its minimalist design with premium leather and signature perforations, available in India as a classic lifestyle sneaker.",2
2,Adidas Ultraboost DNA,11999,Adidas,Black,Shoes,Sneakers,Adidas Ultraboost DNA offers superior Boost cushioning and a flexible knit upper for dynamic movement—an authentic model in the Indian market.,3
3,Adidas NMD_R1,10999,Adidas,Blue,Shoes,Sneakers,"The Adidas NMD_R1 blends street style with performance by featuring innovative Boost cushioning and a sleek, modern design available in India.",3
4,Adidas Gazelle,4999,Adidas,Red,Shoes,Sneakers,"Adidas Gazelle is a classic sneaker known for its soft suede upper and vintage design, popular in India for casual wear.",2
5,Adidas Samba,4499,Adidas,Black,Shoes,Sneakers,"The Adidas Samba is a timeless indoor soccer-inspired sneaker, crafted with leather and suede overlays for durability and everyday style.",2
6,Adidas Forum Low,5499,Adidas,Blue,Shoes,Sneakers,"Adidas Forum Low is a retro-styled sneaker featuring a padded collar and premium leather, a favorite among Indian sneaker enthusiasts.",3
7,Adidas Originals Nizza,3999,Adidas,White,Shoes,Sneakers,The Adidas Originals Nizza is a low-top sneaker with a minimalist design ideal for everyday casual style in India.,3
8,Adidas ZX Flux,6599,Adidas,Black,Shoes,Sneakers,"Adidas ZX Flux combines a modern, layered design with lightweight construction for all-day comfort, sold as a lifestyle sneaker.",5
9,Adidas Swift Run,5299,Adidas,Blue,Shoes,Sneakers,"Adidas Swift Run is engineered for performance with breathable mesh and responsive cushioning, offering a true running experience in India.",4
10,Adidas Top Ten,3999,Adidas,Red,Shoes,Sneakers,"Adidas Top Ten delivers a retro look with durable construction and everyday comfort, a genuine model available in select Indian stores.",3
11,Adidas Supercourt,4599,Adidas,White,Shoes,Sneakers,"Adidas Supercourt features a streamlined silhouette with premium leather and subtle design accents, perfect for urban style.",2
12,Nike Air Max 90,6499,Nike,White,Shoes,Sneakers,Nike Air Max 90 is a classic sneaker known for its visible Air cushioning and heritage design that helped shape sneaker culture in India.,3
13,Nike Air Max 97,7999,Nike,Black,Shoes,Sneakers,"Nike Air Max 97 offers a futuristic design with full-length Air cushioning and reflective details, available as an authentic model in India.",4
14,Nike Air Force 1 '07,7499,Nike,Blue,Shoes,Sneakers,Nike Air Force 1 '07 updates the iconic silhouette with premium leather and classic styling for everyday wear in the Indian market.,5
15,Nike React Infinity Run Flyknit,8999,Nike,Red,Shoes,Sneakers,"Nike React Infinity Run Flyknit is engineered with responsive React foam and a supportive Flyknit upper, designed for serious runners in India.",4
16,Nike Air Zoom Pegasus 38,6499,Nike,Black,Shoes,Sneakers,"Nike Air Zoom Pegasus 38 delivers balanced cushioning and a breathable mesh upper, a trusted choice among Indian athletes.",3
17,Nike Blazer Mid '77,6999,Nike,White,Shoes,Sneakers,"Nike Blazer Mid '77 fuses vintage style with modern comfort, featuring a high-top silhouette and durable construction favored in India.",2
18,Nike Court Vision Low,5299,Nike,Blue,Shoes,Sneakers,Nike Court Vision Low is inspired by classic basketball design with retro detailing and premium materials for everyday style.,5
19,Nike Dunk Low,7599,Nike,Red,Shoes,Sneakers,"Nike Dunk Low offers bold color blocking and a durable build, a cult classic reintroduced for modern urban wear in India.",4
20,Nike Air VaporMax Flyknit 3,9999,Nike,Black,Shoes,Sneakers,"Nike Air VaporMax Flyknit 3 revolutionizes cushioning with a full-length VaporMax Air unit and lightweight Flyknit upper, available in India.",3
21,Nike Air Jordan 1 Retro High OG,18999,Nike,White,Shoes,Sneakers,"Nike Air Jordan 1 Retro High OG is an iconic basketball sneaker with premium leather and classic design details, a must-have in India.",2
22,Nike ZoomX Vaporfly NEXT%,22999,Nike,Black,Shoes,Sneakers,"Nike ZoomX Vaporfly NEXT% is engineered for elite performance with advanced ZoomX foam and a streamlined design, available for competitive runners in India.",5
23,Nike React Element 55,6499,Nike,Blue,Shoes,Sneakers,Nike React Element 55 combines innovative React cushioning with bold aesthetics for the modern sneaker enthusiast in India.,4
24,Reebok Classic Leather,5499,Reebok,White,Shoes,Sneakers,"Reebok Classic Leather in White is a timeless sneaker featuring a premium leather upper and minimalistic design, authentic to Reebok’s heritage.",5
25,Reebok Club C 85,5199,Reebok,Black,Shoes,Sneakers,"Reebok Club C 85 in Black delivers a retro-inspired look with modern comfort, a staple sneaker sold across India.",2
26,Reebok Classic Nylon,4799,Reebok,Blue,Shoes,Sneakers,"Reebok Classic Nylon in Blue offers a lightweight, casual design with a vintage feel, popular among Indian consumers.",4
27,Reebok Zig Kinetica Edge,6499,Reebok,Red,Shoes,Sneakers,Reebok Zig Kinetica Edge in Red features dynamic cushioning and a unique zigzag design engineered for active performance.,2
28,Reebok Zig Kinetica Base,6299,Reebok,Black,Shoes,Sneakers,"The Reebok Zig Kinetica Base in Black combines innovative technology with a modern design, built for everyday athletic use.",4
29,Reebok Nano 9,6999,Reebok,Blue,Shoes,Sneakers,"Reebok Nano 9 in Blue is a high-performance training shoe designed for cross-training and durability, trusted by fitness enthusiasts in India.",1
30,Reebok Nano X1,7199,Reebok,White,Shoes,Sneakers,"Reebok Nano X1 in White offers enhanced stability and breathability for high-intensity workouts, a real model from Reebok India.",2
31,Reebok Instapump Fury,10999,Reebok,Red,Shoes,Sneakers,"Reebok Instapump Fury in Red is a bold, basketball-inspired sneaker known for its innovative pump technology and distinctive design.",4
32,Reebok DMX Run 10,6499,Reebok,White,Shoes,Sneakers,"Reebok DMX Run 10 in White delivers responsive cushioning with DMX technology, offering a smooth running experience for Indian runners.",4
33,Reebok Forever Floatride Run X,7599,Reebok,Blue,Shoes,Sneakers,"Reebok Forever Floatride Run X in Blue features ultra-lightweight cushioning and a responsive ride, ideal for long-distance running.",3
34,Reebok Club C 85 II,5299,Reebok,Black,Shoes,Sneakers,"Reebok Club C 85 II in Black is an updated classic offering improved comfort and a sleek design, available across India.",3
35,Reebok Zig 2.0,6399,Reebok,Red,Shoes,Sneakers,"Reebok Zig 2.0 in Red redefines athletic performance with advanced cushioning and a dynamic aesthetic, a genuine model in the Indian market.",5
36,Puma Suede Classic,4999,Puma,Black,Shoes,Sneakers,Puma Suede Classic in Black is an iconic sneaker featuring premium suede and a timeless design that has been a staple in India for decades.,2
37,Puma Future Rider,5999,Puma,White,Shoes,Sneakers,"Puma Future Rider in White blends retro style with modern comfort, featuring a lightweight design and cushioned midsole popular in India.",4
38,Puma RS-X,6999,Puma,Red,Shoes,Sneakers,"Puma RS-X in Red offers a bold, chunky design with vibrant accents and advanced cushioning technology, a hit among urban consumers in India.",5
39,Puma Clyde,5499,Puma,Blue,Shoes,Sneakers,"Puma Clyde in Blue pays homage to basketball heritage with its sleek silhouette and premium materials, a classic sneaker available in India.",3
40,Puma Cell Venom,6499,Puma,Black,Shoes,Sneakers,"Puma Cell Venom in Black delivers an aggressive design with dynamic cushioning technology, designed for on-court performance in India.",1
41,Puma Rider 2.0,4299,Puma,White,Shoes,Sneakers,"Puma Rider 2.0 in White is a lightweight, versatile sneaker that provides comfort and style for everyday use in India.",3
42,Puma LQD Cell,5999,Puma,Blue,Shoes,Sneakers,Puma LQD Cell in Blue features innovative Liquidcushion technology for responsive comfort in a modern athletic design.,5
43,Puma Cali,4999,Puma,Red,Shoes,Sneakers,"Puma Cali in Red is a fashion-forward sneaker that combines a retro silhouette with contemporary style, a popular choice in India.",5
44,Puma Basket Heart,5399,Puma,Black,Shoes,Sneakers,"Puma Basket Heart in Black offers a unique design with a distinctive heart motif and premium materials, crafted for urban fashion.",4
45,Puma Fuse,4499,Puma,White,Shoes,Sneakers,"Puma Fuse in White is a versatile sneaker that merges performance features with casual style, ideal for daily wear in India.",5
46,Puma RS-Z,6899,Puma,Blue,Shoes,Sneakers,Puma RS-Z in Blue is a dynamic sneaker featuring a futuristic design and advanced cushioning technology for high-performance use.,4
47,Puma Future Rider Edge,6299,Puma,Black,Shoes,Sneakers,"Puma Future Rider Edge in Black refines the classic Future Rider with enhanced comfort and updated styling, a true evolution for the Indian market.",2
48,Bata Formal Oxford – Classic,2500,Bata,Black,Shoes,Formal Shoes,"The Bata Formal Oxford – Classic features premium leather and a slip‐resistant sole, designed for professional office wear in India.",4
49,Bata Derby – Executive,2700,Bata,Brown,Shoes,Formal Shoes,"The Bata Derby – Executive is crafted with durable leather and ergonomic comfort, offering a refined look for business settings.",3
50,Bata Loafer – Heritage,3000,Bata,Tan,Shoes,Formal Shoes,"The Bata Loafer – Heritage combines traditional craftsmanship with modern comfort, presenting a timeless style for formal occasions.",3
51,Bata Formal Brogue – Premium,3200,Bata,Black,Shoes,Formal Shoes,The Bata Formal Brogue – Premium showcases intricate brogue detailing and superior craftsmanship for upscale business attire.,4
52,Bata Executive Formal – Deluxe,3500,Bata,Black,Shoes,Formal Shoes,"The Bata Executive Formal – Deluxe provides exceptional support and refined aesthetics, perfect for high-level corporate environments.",3
53,Bata Comfit Formal – Comfort Plus,2400,Bata,Brown,Shoes,Formal Shoes,The Bata Comfit Formal – Comfort Plus is engineered for extended wear with enhanced cushioning and a breathable design.,3
54,Bata Signature Formal – Supreme,3600,Bata,Black,Shoes,Formal Shoes,The Bata Signature Formal – Supreme stands out with signature detailing and a luxurious finish for elite professional style.,2
55,Bata Derby – Urban,2700,Bata,Black,Shoes,Formal Shoes,"The Bata Derby – Urban merges modern aesthetics with traditional Derby design, making it versatile for formal and casual settings.",4
56,Bata Formal Loafer – Executive,2900,Bata,Brown,Shoes,Formal Shoes,"The Bata Formal Loafer – Executive combines elegance and comfort, ideal for both formal and semi-formal business wear.",3
57,Hush Puppies Classic Formal – Heritage,3200,Hush Puppies,Black,Shoes,Formal Shoes,"Hush Puppies Classic Formal – Heritage features soft, premium leather and a cushioned insole, ensuring exceptional comfort in formal settings.",4
58,Hush Puppies Modern Formal – Executive,3400,Hush Puppies,Brown,Shoes,Formal Shoes,"Hush Puppies Modern Formal – Executive offers a sleek design with high-quality materials, combining modern style with traditional comfort.",2
59,Hush Puppies Executive Formal – Luxe,3600,Hush Puppies,Black,Shoes,Formal Shoes,"Hush Puppies Executive Formal – Luxe is crafted with superior leather and advanced cushioning for a sophisticated, all-day formal wear experience.",4
60,Hush Puppies Executive Formal – Premium,3700,Hush Puppies,Brown,Shoes,Formal Shoes,Hush Puppies Executive Formal – Premium provides refined style and superior cushioning for extended hours in a corporate setting.,4
61,Hush Puppies Formal Oxford – Classic,3000,Hush Puppies,Black,Shoes,Formal Shoes,Hush Puppies Formal Oxford – Classic brings a traditional look with modern ergonomic enhancements for reliable formal wear.,3
62,Hush Puppies Brogue – Modern,3500,Hush Puppies,Black,Shoes,Formal Shoes,Hush Puppies Brogue – Modern features contemporary brogue detailing with refined materials for a stylish business appearance.,5
63,Hush Puppies Monk Strap – Executive,3600,Hush Puppies,Brown,Shoes,Formal Shoes,"Hush Puppies Monk Strap – Executive offers unique buckle detailing and a secure fit, combining tradition with modern elegance.",2
64,Woodland Formal Boot – Heritage,4000,Woodland,Brown,Shoes,Formal Shoes,"Woodland Formal Boot – Heritage features rugged yet refined leather with durable soles, suitable for formal occasions.",4
65,Woodland Formal Boot – Executive,4200,Woodland,Black,Shoes,Formal Shoes,Woodland Formal Boot – Executive is crafted with high-quality leather and robust construction for a sophisticated yet sturdy look.,4
66,Woodland Brogue – Classic,4400,Woodland,Tan,Shoes,Formal Shoes,Woodland Brogue – Classic showcases traditional brogue perforations and authentic leather craftsmanship for a timeless style.,4
67,Woodland Brogue – Premium,4600,Woodland,Brown,Shoes,Formal Shoes,"Woodland Brogue – Premium features intricate detailing and superior materials, offering an upscale formal shoe option.",2
68,Woodland Monk Strap – Heritage,4800,Woodland,Black,Shoes,Formal Shoes,"Woodland Monk Strap – Heritage combines classic strap design with premium leather for an elegant, enduring style.",3
69,Woodland Formal Oxford – Classic,4200,Woodland,Brown,Shoes,Formal Shoes,Woodland Formal Oxford – Classic delivers a sophisticated look with quality leather and meticulous detailing for professional settings.,3
70,Woodland Derby – Modern,4300,Woodland,Black,Shoes,Formal Shoes,"Woodland Derby – Modern merges traditional Derby design with contemporary style, offering versatility for office and social events.",3
71,Woodland Loafer – Executive,4100,Woodland,Tan,Shoes,Formal Shoes,Woodland Loafer – Executive offers a refined slip-on design with soft cushioning and a modern aesthetic for formal occasions.,2
72,Woodland Signature Formal – Classic,4700,Woodland,Black,Shoes,Formal Shoes,Woodland Signature Formal – Classic stands out with distinctive branding and high-quality craftsmanship for elite professional style.,3
73,Woodland Executive Brogue – Modern,4900,Woodland,Brown,Shoes,Formal Shoes,Woodland Executive Brogue – Modern combines traditional brogue details with modern comfort technology for a premium formal look.,3
74,Red Tape Formal Shoe – Classic,4600,Red Tape,Black,Shoes,Formal Shoes,"Red Tape Formal Shoe – Classic offers refined styling with premium leather and meticulous craftsmanship, ideal for professional settings.",3
75,Red Tape Business Shoe – Modern,5000,Red Tape,Brown,Shoes,Formal Shoes,Red Tape Business Shoe – Modern is engineered for a contemporary corporate appearance with enhanced comfort features.,5
76,Red Tape Business Shoe – Signature,5200,Red Tape,Black,Shoes,Formal Shoes,Red Tape Business Shoe – Signature stands out with unique design elements and high-quality materials for an upscale professional image.,4
77,Red Tape Formal Derby – Classic,4800,Red Tape,Brown,Shoes,Formal Shoes,Red Tape Formal Derby – Classic is a well-crafted Derby shoe with a timeless design and refined accents suitable for formal events.,2
78,Red Tape Formal Oxford – Modern,5000,Red Tape,Black,Shoes,Formal Shoes,Red Tape Formal Oxford – Modern merges classic Oxford style with contemporary innovation for a sophisticated look.,3
79,Red Tape Signature Formal – Elite,5600,Red Tape,Black,Shoes,Formal Shoes,Red Tape Signature Formal – Elite stands as a testament to exquisite craftsmanship and luxurious detailing for executive wear.,4
80,Red Tape Premium Derby – Classic,5200,Red Tape,Brown,Shoes,Formal Shoes,"Red Tape Premium Derby – Classic delivers refined aesthetics with quality materials and a comfortable fit, perfect for the modern professional.",5
81,Bata Men’s Walka 2.0 Sandal,1200,Bata,Black,Shoes,Sandals,"Bata Men’s Walka 2.0 Sandal is a popular model in India, known for its lightweight design and comfortable rubber sole.",3
82,Bata Men’s Flexi Walk Sandal,1500,Bata,Blue,Shoes,Sandals,"Bata Men’s Flexi Walk Sandal features a flexible sole and durable leather upper, designed for everyday wear.",4
83,Bata Men’s Active Step Sandal,1300,Bata,Red,Shoes,Sandals,Bata Men’s Active Step Sandal offers excellent grip and comfort with a robust design suited for active lifestyles.,5
84,Bata Men’s Power Step Sandal,1400,Bata,White,Shoes,Sandals,"Bata Men’s Power Step Sandal is engineered for stability and long-lasting wear, ideal for urban commuters.",3
85,Bata Men’s Classic Slide Sandal,1100,Bata,Black,Shoes,Sandals,Bata Men’s Classic Slide Sandal provides a timeless slip-on design with cushioned insoles for enhanced comfort.,4
86,Bata Men’s Comfort X Sandal,1600,Bata,Blue,Shoes,Sandals,Bata Men’s Comfort X Sandal is crafted with premium materials and offers excellent arch support for all-day comfort.,3
87,Bata Men’s Urban Glide Sandal,1700,Bata,Red,Shoes,Sandals,"Bata Men’s Urban Glide Sandal features an ergonomic design and lightweight construction, perfect for city use.",4
88,Bata Men’s Summer Fresh Sandal,1500,Bata,White,Shoes,Sandals,Bata Men’s Summer Fresh Sandal is designed with breathable materials and a stylish look to keep feet cool in hot weather.,4
89,Bata Men’s All-Weather Sandal,1800,Bata,Black,Shoes,Sandals,"Bata Men’s All-Weather Sandal is built for durability in varying conditions, combining comfort with a rugged design.",1
90,Bata Men’s Sporty Slide Sandal,1400,Bata,Blue,Shoes,Sandals,Bata Men’s Sporty Slide Sandal offers a modern look with a shock-absorbing sole for active use.,4
91,Bata Men’s Heritage Comfort Sandal,1900,Bata,Red,Shoes,Sandals,Bata Men’s Heritage Comfort Sandal recalls classic design cues with enhanced cushioning for all-day wear.,3
92,Bata Men’s Premium Walk Sandal,2000,Bata,White,Shoes,Sandals,Bata Men’s Premium Walk Sandal features superior materials and craftsmanship for a refined yet durable sandal.,4
93,Relaxo Easy Steps Sandal,800,Relaxo,Black,Shoes,Sandals,"Relaxo Easy Steps Sandal is a budget-friendly option known for its lightweight design and basic comfort, widely available in India.",5
94,Relaxo Footprints Sandal,850,Relaxo,Blue,Shoes,Sandals,"Relaxo Footprints Sandal offers a casual design with soft cushioning and durable construction, ideal for daily use.",5
95,Relaxo Quick Step Sandal,900,Relaxo,Red,Shoes,Sandals,"Relaxo Quick Step Sandal is designed for quick, comfortable strides with a breathable upper and sturdy sole.",3
96,Relaxo Dazzler Sandal,950,Relaxo,White,Shoes,Sandals,Relaxo Dazzler Sandal features a trendy design with eye-catching details and reliable comfort for casual wear.,4
97,Relaxo InStep Sandal,1000,Relaxo,Black,Shoes,Sandals,"Relaxo InStep Sandal provides a secure fit with a padded insole and durable outsole, suitable for everyday activities.",3
98,Relaxo Ride Sandal,1050,Relaxo,Blue,Shoes,Sandals,"Relaxo Ride Sandal is built for comfort with a flexible sole and cushioned footbed, popular for its value.",4
99,Relaxo Energy Sandal,1100,Relaxo,Red,Shoes,Sandals,Relaxo Energy Sandal delivers enhanced comfort and energy return with a well-cushioned design for long walks.,3
100,Relaxo Casual Sandal,950,Relaxo,White,Shoes,Sandals,"Relaxo Casual Sandal is a lightweight, everyday sandal that balances simplicity and functionality.",4
101,Relaxo Trendy Sandal,1200,Relaxo,Black,Shoes,Sandals,Relaxo Trendy Sandal offers modern styling and comfort with a durable build suitable for urban settings.,4
102,Relaxo Sport Sandal,1150,Relaxo,Blue,Shoes,Sandals,"Relaxo Sport Sandal is engineered for active use with a sporty design, ideal for casual outdoor activities.",4
103,Relaxo Comfort Sandal,1100,Relaxo,Red,Shoes,Sandals,Relaxo Comfort Sandal provides all-day cushioning and support with a focus on ergonomic design.,3
104,Relaxo Classic Sandal,1000,Relaxo,White,Shoes,Sandals,Relaxo Classic Sandal delivers a straightforward design with reliable comfort and durability at a low price.,2
